sensor_count,edge_count,cloud_region_intensity,data_volume_gb_day,transmission_freq_hz,model_resolution,crop_type,operation_days,solar_powered,total_co2e_kg
6,7,0.07879612587117303,14.183330315803941,3.711904437970764,0.700412293452064,wheat,322,0,1279.239926507171
39,1,0.6305627129816481,48.058344441987146,9.057376578077921,0.19305090990569618,rice,68,0,22982.05356776027
34,8,0.8579218293323002,37.80656633219725,8.212096890099419,0.23496125439556748,tomato,332,0,96827.80736284204
23,2,0.7547779167938877,12.63340709585545,8.112046697893868,0.6705843348258519,tomato,230,1,12235.729691367884
23,1,0.2856184191789588,0.8742861842093942,6.162368531150967,0.881835223828438,corn,45,1,155.8275528605226
44,2,0.09532632219333956,11.34756566901671,8.879677870375323,0.6943745610474379,rice,271,0,3223.513633752281
6,5,0.8492987006574535,17.69768425892742,2.9934844428485823,0.13258433211046808,tomato,30,1,846.9729444973202
36,7,0.8465033161477462,28.02938699419472,7.03735764549773,0.9733896253812907,corn,235,1,25782.82963709605
11,5,0.502553021755939,36.773383533925255,4.045072976176534,0.22555621081562058,tomato,200,1,8848.887551516997
6,2,0.5959697999208049,8.030338671858768,6.000388086788362,0.3093060101972408,rice,280,1,6733.840128714864
27,2,0.443210051604187,1.1437000552205288,9.981531853126317,0.9774705537142518,rice,156,0,2139.803493512904
49,9,0.4068005620339448,27.00933016368345,9.845263281972509,0.7939296969880374,rice,69,1,6502.351309452719
38,10,0.1515311705393953,2.7478092013800968,5.126677545658016,0.9429190123406559,rice,160,1,846.8393243909386
39,8,0.13223996360693163,15.587881246357826,5.739060658196082,0.8259577235272267,tomato,285,1,2792.2414868923
37,2,0.24782232467475934,4.295902868195993,8.973320369603872,0.6865610275028801,tomato,350,1,2313.0552542331357
40,9,0.7611446344455627,4.0098877225460905,9.856371489426035,0.3560976989767054,soy,99,1,2280.6366682881667
27,7,0.173957455625328,35.97918921028789,7.786299418458173,0.3941932975295729,soy,148,1,3405.143212804962
8,6,0.2426938541275041,12.378356435471979,0.6527793951283485,0.9525439657399327,rice,324,1,1200.0373461497281
43,2,0.5163219504238764,27.74464249018736,3.2270747037042957,0.8745630545400801,tomato,135,0,7023.091681467594
24,10,0.23286153536653326,6.303157041675555,8.965726836863158,0.4235414035980939,corn,112,0,1804.8875464544599
26,5,0.18872568201011902,9.800818410656012,7.683756705998956,0.4359406758586335,corn,309,0,5441.627744719011
20,1,0.5288188054432679,11.698469162221494,7.422588477173248,0.3679249512482963,rice,195,1,6367.096487959851
10,3,0.36287928034712313,26.464942428203635,6.679564381450943,0.3935171283625035,tomato,225,0,14769.929057174417
47,5,0.5822353929643989,9.171611764132802,4.153223232474203,0.874600719659907,tomato,193,0,6273.257745996587
40,1,0.8253745393473749,11.815394050486033,4.033009962126673,0.10945617093086217,wheat,232,0,7540.061680958646
33,4,0.1783441617198075,11.43542490209615,8.08951594342042,0.4924473589985723,tomato,120,1,1459.373751403972
21,5,0.8264186108411044,13.478239478489856,2.938509137358944,0.948555710675117,rice,275,1,9437.909967441336
42,10,0.8171164723094809,1.5679916416830995,6.848633895137034,0.588372719664528,wheat,151,0,4374.922071074105
28,1,0.7547244458355175,6.409704864787709,7.262359025716143,0.5054012111295132,wheat,205,1,4511.1054653147885
23,6,0.5865930297101725,0.6207171981428664,8.445715337625925,0.38113282422962924,corn,92,0,888.5080195543247
24,10,0.5771246588457153,0.5099905006679102,3.1995360214794504,0.16652136687571345,tomato,33,0,366.34029821856035
13,9,0.5933307609460263,48.86971290813452,7.419150779115184,0.3020378302247616,rice,221,1,34797.77960529916
6,10,0.6369212185351412,1.2712155485753123,1.06579248588929,0.18141256894318414,soy,76,0,240.78022707207847
29,2,0.06400987050673347,15.234389567732048,1.3814792277900951,0.21402948674388544,rice,336,0,677.7648357169223
45,9,0.8643786922865523,6.451490516168857,4.173943065693843,0.24716488971364284,soy,352,1,7576.129385019399
5,10,0.5477631972457428,3.589881416375656,0.5532025377761176,0.3718264888758507,tomato,136,0,733.8762168955757
44,4,0.7142459634920584,22.61138226110417,9.477035516331918,0.10991501199598191,wheat,127,1,10962.517348708292
42,5,0.3706895632021587,2.6781328763279233,9.019056209283097,0.9551294970339229,corn,200,0,3482.994052887059
15,6,0.060537631828426565,28.431095245822277,0.49028802156290563,0.21143718340927709,corn,98,1,76.73542102542378
32,5,0.48327446089497733,6.538071055535405,8.383278907200895,0.4448339851236284,tomato,319,1,6190.776409836558
10,3,0.4811116014185396,0.8442511709645149,5.089232866726164,0.8915748037433026,soy,64,1,208.75303402203423
39,10,0.421440895064734,5.41387671287398,7.019926920847126,0.19591117317168605,rice,182,0,4824.860500319865
36,10,0.33875949603776523,14.602267776802304,8.869424761812574,0.5352438265787087,tomato,93,1,3559.919336832474
19,4,0.2623521746382637,6.052861683824551,5.770167896289909,0.8603052377872562,wheat,309,0,2691.5908872494024
5,9,0.49841314332260533,2.7022649041907916,1.1641546757460097,0.6012663616307261,tomato,78,1,358.0821634156064
49,4,0.36898641873946997,5.692591831017221,0.02678352625537594,0.2893092358804841,wheat,179,1,514.0414615224445
23,8,0.8744421005923374,2.4967088586957953,4.969718400982215,0.7619585782713232,rice,310,1,7223.91271957071
45,6,0.19698821160189173,28.45572883751241,9.492372089111477,0.7132069565807571,rice,177,1,6187.47629571293
35,5,0.32171573248302393,9.964915461764932,5.726646094260347,0.4259673158922319,tomato,92,1,1328.8213975502438
40,2,0.29986640028588535,12.330675729011194,3.7300184417442037,0.14166564542323765,wheat,82,0,1158.677778635489
39,7,0.5118127998005635,42.347159003732685,0.3101892487920527,0.10707822090648451,tomato,233,1,2480.6471121660616
11,4,0.4743882184280257,3.491799501113811,9.149879193364725,0.8428535948144544,rice,71,1,1079.2485715688229
19,3,0.5971793956106322,2.605715364967039,3.272239451919564,0.3894016254031617,wheat,149,0,1019.4123196365481
24,2,0.8575015049880768,3.5159075609124817,7.048069235749647,0.22399290874531413,soy,235,0,3747.0381177910162
26,10,0.29243792266978724,38.26619401341624,6.942677783912538,0.5666961035466839,tomato,157,1,9199.975775010955
4,2,0.638855833866747,22.52904444570319,2.5395777305261102,0.9287499661525811,soy,307,1,5842.166889211166
28,8,0.07128417255440607,48.118661021655356,0.6387112871007926,0.10763277807015795,corn,261,1,509.72794979677116
9,9,0.27303020182358084,1.5644483041686237,3.850618786339764,0.15052918660877304,corn,75,0,249.8507933399596
38,1,0.44416176879710384,4.161774355300492,3.1719930073581617,0.4753404393265651,soy,304,0,1769.786820399573
35,6,0.07634557020896429,2.5809970399504696,7.0028637323243865,0.7083693160795571,tomato,335,0,1015.4784156871638
47,6,0.5750190414705931,18.5038926274168,8.19800517410273,0.5284904128903452,rice,97,0,10621.188011351616
38,4,0.626564017141452,3.2620731226662514,2.225231728499355,0.9077935946188642,rice,150,0,3028.060002916036
19,7,0.6847219576123397,34.65434156561431,5.2827824666946475,0.13967609998373035,rice,162,0,22884.099682783217
49,5,0.4890883291165604,5.979750680337364,0.40704286553422847,0.4061267826793692,rice,172,1,1221.8223615219104
22,5,0.5633529652318326,30.44649909331566,2.1433439735116857,0.4162131004498487,soy,185,0,5293.330523583392
17,5,0.38665546358671415,6.0694731334647924,7.617854291615509,0.4061145033877076,rice,330,0,8507.023465041399
46,9,0.08506507763057816,1.7217627884551328,7.934189806570236,0.5389173209110516,corn,248,0,926.3843132242052
20,7,0.13495907740833607,16.654427280196163,7.764268230054581,0.8115193406751494,soy,331,1,2933.4855064365015
5,4,0.6067465355712446,5.476375709538588,1.424736861957713,0.3860943547625356,corn,147,1,793.423202909039
